Thread Name,Action,Date
main,Remove event by id,19:53.4
main,Get sold tickets,19:54.1
main,Get all clients,19:54.3
main,Get ticket details,19:54.3
main,Get all the events,19:54.6
main,Get locations,19:54.6
Thread-0,Add ticket,20:24.8
Thread-0,Update final price of ticket,20:24.9
Thread-0,Get ticket details by id,20:24.9
Thread-0,Get event by id,20:25.0
Thread-0,Get client by id,20:25.0
AWT-EventQueue-0,Get sold tickets,20:26.7
main,Remove event by id,2020-06-03 16:35:50.828
main,Get sold tickets,2020-06-03 16:35:51.623
main,Get all clients,2020-06-03 16:35:51.747
main,Get ticket details,2020-06-03 16:35:51.812
main,Get all the events,2020-06-03 16:35:52.039
main,Get locations,2020-06-03 16:35:52.116
AWT-EventQueue-0,Get client by id,2020-06-03 16:36:53.299
Thread-0,Update client name,2020-06-03 16:36:53.341
AWT-EventQueue-0,Get all clients,2020-06-03 16:36:54.971
AWT-EventQueue-0,Add ticket details,2020-06-03 16:37:34.041
AWT-EventQueue-0,Get ticket details,2020-06-03 16:37:35.47
AWT-EventQueue-0,Add ticket details,2020-06-03 16:38:02.761
AWT-EventQueue-0,Get ticket details,2020-06-03 16:38:04.078
AWT-EventQueue-0,Add ticket details,2020-06-03 16:38:23.899
AWT-EventQueue-0,Get ticket details,2020-06-03 16:38:25.23
AWT-EventQueue-0,Add location,2020-06-03 16:39:17.352
AWT-EventQueue-0,Get locations,2020-06-03 16:39:19.665
AWT-EventQueue-0,Add location,2020-06-03 16:39:26.784
AWT-EventQueue-0,Get locations,2020-06-03 16:39:29.199
AWT-EventQueue-0,Add ticket details,2020-06-03 16:40:00.883
AWT-EventQueue-0,Get ticket details,2020-06-03 16:40:02.421
AWT-EventQueue-0,Add ticket details,2020-06-03 16:40:26.205
AWT-EventQueue-0,Get ticket details,2020-06-03 16:40:27.879
Thread-1,Add ticket,2020-06-03 16:42:37.871
Thread-1,Update final price of ticket,2020-06-03 16:42:37.901
Thread-1,Get ticket details by id,2020-06-03 16:42:37.923
Thread-1,Get event by id,2020-06-03 16:42:37.944
Thread-1,Get client by id,2020-06-03 16:42:37.981
AWT-EventQueue-0,Get sold tickets,2020-06-03 16:42:39.774
Thread-2,Add ticket,2020-06-03 16:42:59.809
Thread-2,Update final price of ticket,2020-06-03 16:42:59.834
Thread-2,Get ticket details by id,2020-06-03 16:42:59.858
Thread-2,Get event by id,2020-06-03 16:42:59.879
Thread-2,Get client by id,2020-06-03 16:42:59.913
AWT-EventQueue-0,Get sold tickets,2020-06-03 16:43:01.356
main,Remove event by id,2020-06-03 16:45:57.15
main,Get sold tickets,2020-06-03 16:45:57.955
main,Get all clients,2020-06-03 16:45:58.071
main,Get ticket details,2020-06-03 16:45:58.153
main,Get all the events,2020-06-03 16:45:58.414
main,Get locations,2020-06-03 16:45:58.492
main,Remove event by id,2020-06-03 16:49:17.629
main,Get sold tickets,2020-06-03 16:49:18.842
main,Get all clients,2020-06-03 16:49:18.979
main,Get ticket details,2020-06-03 16:49:19.036
main,Get all the events,2020-06-03 16:49:19.249
main,Get locations,2020-06-03 16:49:19.329
main,Remove event by id,2020-06-03 17:11:44.37
main,Get sold tickets,2020-06-03 17:11:45.398
main,Get all clients,2020-06-03 17:11:45.546
main,Get ticket details,2020-06-03 17:11:45.632
main,Get all the events,2020-06-03 17:11:45.909
main,Get locations,2020-06-03 17:11:46.025
AWT-EventQueue-0,Get event by id,2020-06-03 17:14:17.331
AWT-EventQueue-0,Remove event by id,2020-06-03 17:14:17.382
AWT-EventQueue-0,Get all the events,2020-06-03 17:14:19.688
AWT-EventQueue-0,Get ticket details,2020-06-03 17:14:19.736
AWT-EventQueue-0,Get sold tickets,2020-06-03 17:14:19.783
Thread-0,Add ticket,2020-06-03 17:15:49.925
Thread-0,Update final price of ticket,2020-06-03 17:15:49.967
Thread-0,Get ticket details by id,2020-06-03 17:15:50.004
Thread-0,Get event by id,2020-06-03 17:15:50.04
Thread-0,Get client by id,2020-06-03 17:15:50.095
AWT-EventQueue-0,Get sold tickets,2020-06-03 17:15:51.491
AWT-EventQueue-0,Get client by id,2020-06-03 17:16:06.492
AWT-EventQueue-0,Remove client by id,2020-06-03 17:16:06.518
AWT-EventQueue-0,Get all clients,2020-06-03 17:16:08.74
AWT-EventQueue-0,Get sold tickets,2020-06-03 17:16:08.768
