Thread Name,Action,Date
main,Get sold tickets,2020-06-03 22:23:42.679
main,Get all clients,2020-06-03 22:23:42.756
main,Get ticket details,2020-06-03 22:23:42.784
main,Get all the events,2020-06-03 22:23:42.983
main,Get locations,2020-06-03 22:23:43.004
AWT-EventQueue-0,Add location,2020-06-03 22:24:23.467
AWT-EventQueue-0,Get locations,2020-06-03 22:24:25.29
AWT-EventQueue-0,Get location by id,2020-06-03 22:25:13.291
AWT-EventQueue-0,Remove location by id,2020-06-03 22:25:13.302
AWT-EventQueue-0,Get location by id,2020-06-03 22:25:17.953
AWT-EventQueue-0,Remove location by id,2020-06-03 22:25:17.963
main,Get sold tickets,2020-06-03 22:25:53.956
main,Get all clients,2020-06-03 22:25:54.037
main,Get ticket details,2020-06-03 22:25:54.064
main,Get all the events,2020-06-03 22:25:54.3
main,Get locations,2020-06-03 22:25:54.336
AWT-EventQueue-0,Get location by id,2020-06-03 22:25:59.371
AWT-EventQueue-0,Remove location by id,2020-06-03 22:25:59.396
main,Get sold tickets,2020-06-03 22:29:01.005
main,Get all clients,2020-06-03 22:29:01.078
main,Get ticket details,2020-06-03 22:29:01.106
main,Get all the events,2020-06-03 22:29:01.305
main,Get locations,2020-06-03 22:29:01.325
main,Get sold tickets,2020-06-03 22:29:52.781
main,Get all clients,2020-06-03 22:29:52.902
main,Get ticket details,2020-06-03 22:29:52.94
main,Get all the events,2020-06-03 22:29:53.155
main,Get locations,2020-06-03 22:29:53.194
AWT-EventQueue-0,Get location by id,2020-06-03 22:30:05.683
AWT-EventQueue-0,Remove location by id,2020-06-03 22:30:05.702
AWT-EventQueue-0,Get locations,2020-06-03 22:30:07.627
AWT-EventQueue-0,Get ticket details,2020-06-03 22:30:07.637
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:30:07.646
AWT-EventQueue-0,Add location,2020-06-03 22:31:57.606
AWT-EventQueue-0,Get locations,2020-06-03 22:31:59.284
AWT-EventQueue-0,Get location by id,2020-06-03 22:32:15.106
AWT-EventQueue-0,Get location by id,2020-06-03 22:32:21.428
AWT-EventQueue-0,Update location name,2020-06-03 22:32:21.439
AWT-EventQueue-0,Get locations,2020-06-03 22:32:22.592
AWT-EventQueue-0,Get location by id,2020-06-03 22:32:25.156
AWT-EventQueue-0,Update location name,2020-06-03 22:32:25.166
AWT-EventQueue-0,Get locations,2020-06-03 22:32:26.643
AWT-EventQueue-0,Get location by id,2020-06-03 22:33:07.399
Thread-0,Add ticket details,2020-06-03 22:33:34.679
AWT-EventQueue-0,Get ticket details,2020-06-03 22:33:36.367
Thread-1,Add ticket details,2020-06-03 22:33:39.362
AWT-EventQueue-0,Get ticket details,2020-06-03 22:33:40.943
AWT-EventQueue-0,Get event by id,2020-06-03 22:33:50.487
AWT-EventQueue-0,Remove event by id,2020-06-03 22:33:50.498
AWT-EventQueue-0,Get all the events,2020-06-03 22:33:51.882
AWT-EventQueue-0,Get ticket details,2020-06-03 22:33:51.891
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:33:51.904
Thread-2,Add event,2020-06-03 22:37:38.535
AWT-EventQueue-0,Get all the events,2020-06-03 22:38:21.087
Thread-3,Add event,2020-06-03 22:38:55.984
AWT-EventQueue-0,Get all the events,2020-06-03 22:38:57.49
Thread-4,Add ticket details,2020-06-03 22:39:36.267
AWT-EventQueue-0,Get ticket details,2020-06-03 22:39:37.86
Thread-5,Add ticket details,2020-06-03 22:39:40.415
AWT-EventQueue-0,Get ticket details,2020-06-03 22:39:42.208
Thread-6,Add ticket details,2020-06-03 22:39:52.203
AWT-EventQueue-0,Get ticket details,2020-06-03 22:39:53.538
AWT-EventQueue-0,Add ticket,2020-06-03 22:40:40.969
AWT-EventQueue-0,Update final price of ticket,2020-06-03 22:40:40.981
AWT-EventQueue-0,Get ticket details by id,2020-06-03 22:40:40.99
AWT-EventQueue-0,Get event by id,2020-06-03 22:40:40.998
AWT-EventQueue-0,Get client by id,2020-06-03 22:40:41.007
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:40:42.335
AWT-EventQueue-0,Get ticket details by id,2020-06-03 22:40:50.025
AWT-EventQueue-0,Remove ticket details by id,2020-06-03 22:40:50.038
AWT-EventQueue-0,Get ticket details,2020-06-03 22:40:52.2
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:40:52.209
AWT-EventQueue-0,Get ticket by id,2020-06-03 22:41:25.146
AWT-EventQueue-0,Update ticket details id,2020-06-03 22:41:25.156
AWT-EventQueue-0,Update final price of ticket,2020-06-03 22:41:25.163
AWT-EventQueue-0,Get ticket details by id,2020-06-03 22:41:25.171
AWT-EventQueue-0,Get event by id,2020-06-03 22:41:25.18
AWT-EventQueue-0,Get client by id,2020-06-03 22:41:25.189
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:41:26.646
AWT-EventQueue-0,Get ticket by id,2020-06-03 22:45:48.513
AWT-EventQueue-0,Update ticket details id,2020-06-03 22:45:48.521
AWT-EventQueue-0,Update final price of ticket,2020-06-03 22:45:48.529
AWT-EventQueue-0,Get ticket details by id,2020-06-03 22:45:48.537
AWT-EventQueue-0,Get event by id,2020-06-03 22:45:48.545
AWT-EventQueue-0,Get client by id,2020-06-03 22:45:48.554
AWT-EventQueue-0,Get sold tickets,2020-06-03 22:45:50.278
AWT-EventQueue-0,Get client by id,2020-06-03 22:46:25.794
AWT-EventQueue-0,Get client by id,2020-06-03 22:46:36.148
Thread-7,Update client name,2020-06-03 22:46:36.159
AWT-EventQueue-0,Get all clients,2020-06-03 22:46:37.275
